
City	FAA	IATA	ICAO	Airport	Role	Enplanements
Denver	DEN	DEN	KDEN	Denver International Airport	P-L	25,241,962
Durango	DRO	DRO	KDRO	Durango-La Plata County Airport	P-N	163,611
Eagle	EGE	EGE	KEGE	Eagle County Regional Airport	P-N	201,010
Fort Collins / Loveland	FNL	FNL	KFNL	Fort Collins-Loveland Municipal Airport (scheduled service ended in 2012)	P-N	35,671
Grand Junction	GJT	GJT	KGJT	Grand Junction Regional Airport (Walker Field)	P-N	219,358
Gunnison	GUC	GUC	KGUC	Gunnison-Crested Butte Regional Airport	P-N	37,316
Hayden	HDN	HDN	KHDN	Yampa Valley Airport (Yampa Valley Regional)	P-N	110,044
Montrose	MTJ	MTJ	KMTJ	Montrose Regional Airport	P-N	96,601
Pueblo	PUB	PUB	KPUB	Pueblo Memorial Airport	P-N [nb 5]	11,641
CONNECTICUT						
New Haven	HVN	HVN	KHVN	Tweed New Haven Regional Airport (was Tweed-New Haven Airport)	P-N	35,854
Windsor Locks	BDL	BDL	KBDL	Bradley International Airport	P-M	2,640,155
FLORIDA						
Daytona Beach	DAB	DAB	KDAB	Daytona Beach International Airport	P-N	246,627
Fort Lauderdale	FLL	FLL	KFLL	Fort Lauderdale–Hollywood International Airport	P-L	10,829,810
Fort Myers	RSW	RSW	KRSW	Southwest Florida International Airport	P-M	3,714,157
Gainesville	GNV	GNV	KGNV	Gainesville Regional Airport	P-N	159,499
Jacksonville	JAX	JAX	KJAX	Jacksonville International Airport	P-M	2,755,719
Key West	EYW	EYW	KEYW	Key West International Airport	P-N	287,359
Melbourne	MLB	MLB	KMLB	Melbourne International Airport	P-N	180,441
Miami	MIA	MIA	KMIA	Miami International Airport	P-L	17,017,654
Orlando	MCO	MCO	KMCO	Orlando International Airport	P-L	17,017,491
Orlando	SFB	SFB	KSFB	Orlando Sanford International Airport	P-S	553,892
Panama City Beach	ECP	ECP	KECP	Northwest Florida Beaches International Airport [nb 6]	P-N	312,114
Pensacola	PNS	PNS	KPNS	Pensacola International Airport (Pensacola Gulf Coast Regional Airport)	P-S	729,748
Punta Gorda	PGD	PGD	KPGD	Punta Gorda Airport (was Charlotte County Airport)	P-N	87,041
Sarasota / Bradenton	SRQ	SRQ	KSRQ	Sarasota–Bradenton International Airport	P-S	670,992
St. Petersburg	PIE	PIE	KPIE	St. Petersburg–Clearwater International Airport	P-N	384,394
Tallahassee	TLH	TLH	KTLH	Tallahassee Regional Airport	P-S	325,097
Tampa	TPA	TPA	KTPA	Tampa International Airport	P-L	8,137,222
Valparaiso	VPS	VPS	KVPS	Northwest Florida Regional Airport / Eglin Air Force Base	P-S	348,979
West Palm Beach	PBI	PBI	KPBI	Palm Beach International Airport	P-M	2,958,416
GEORGIA						
Albany	ABY	ABY	KABY	Southwest Georgia Regional Airport	P-N	35,494
Atlanta	ATL	ATL	KATL	Hartsfield-Jackson Atlanta International Airport	P-L	43,130,585
Augusta	AGS	AGS	KAGS	Augusta Regional Airport (Bush Field)	P-N	246,587
Brunswick	BQK	BQK	KBQK	Brunswick Golden Isles Airport	P-N	30,059
Columbus	CSG	CSG	KCSG	Columbus Metropolitan Airport	P-N	63,726
Savannah	SAV	SAV	KSAV	Savannah/Hilton Head International Airport	P-S	798,194
Valdosta	VLD	VLD	KVLD	Valdosta Regional Airport	P-N	42,537
HAWAII						
Hilo	ITO	ITO	PHTO	Hilo International Airport	P-S	611,782
Honolulu	HNL	HNL	PHNL	Honolulu International Airport / Hickam AFB	P-L	8,740,077
Kahului	OGG	OGG	PHOG	Kahului Airport	P-M	2,587,214
Kailua/Kona	KOA	KOA	PHKO	Kona International Airport at Keahole	P-S	1,276,343
Kaunakakai	MKK	MKK	PHMK	Molokai Airport (Moloka?i Airport)	P-N	88,688
Lanai City (Lana?i City)	LNY	LNY	PHNY	Lanai Airport (Lana?i Airport)	P-N	43,922
Lihue (Lihu?e)	LIH	LIH	PHLI	Lihue Airport (Lihu?e Airport)	P-S	1,175,203
IDAHO						
Boise	BOI	BOI	KBOI	Boise Airport (Boise Air Terminal) (Gowen Field)	P-S	1,406,750
Hailey	SUN	SUN	KSUN	Friedman Memorial Airport	P-N	52,755
