City,FAA,IATA,ICAO,Airport
"Atlanta, GEORGIA",ATL,ATL,KATL,Hartsfield-Jackson Atlanta International Airport
"Augusta, GEORGIA",AGS,AGS,KAGS,Augusta Regional Airport (Bush Field)
"Brunswick, GEORGIA",BQK,BQK,KBQK,Brunswick Golden Isles Airport
"Columbus, GEORGIA",CSG,CSG,KCSG,Columbus Metropolitan Airport
"Savannah, GEORGIA",SAV,SAV,KSAV,Savannah/Hilton Head International Airport
"Valdosta, GEORGIA",VLD,VLD,KVLD,Valdosta Regional Airport
"Boise, IDAHO",BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field)
"Hailey, IDAHO",SUN,SUN,KSUN,Friedman Memorial Airport
"Idaho Falls, IDAHO",IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field)
"Lewiston, IDAHO",LWS,LWS,KLWS,Lewiston-Nez Perce County Airport
"Pocatello / Arbon Valley, IDAHO",PIH,PIH,KPIH,Pocatello Regional Airport
"Twin Falls, IDAHO",TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field)
"Bloomington / Normal, ILLINOIS",BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal
"Champaign / Urbana, ILLINOIS",CMI,CMI,KCMI,University of Illinois - Willard Airport
"Chicago, ILLINOIS",ORD,ORD,KORD,Chicago O'Hare International Airport
"Chicago, ILLINOIS",MDW,MDW,KMDW,Chicago Midway International Airport
"Moline, ILLINOIS",MLI,MLI,KMLI,Quad City International Airport
"Peoria, ILLINOIS",PIA,PIA,KPIA,General Downing - Peoria International Airport
"Rockford, ILLINOIS",RFD,RFD,KRFD,Chicago Rockford International Airport
"Springfield, ILLINOIS",SPI,SPI,KSPI,Abraham Lincoln Capital Airport
"Evansville, INDIANA",EVV,EVV,KEVV,Evansville Regional Airport
"Fort Wayne, INDIANA",FWA,FWA,KFWA,Fort Wayne International Airport
"Indianapolis, INDIANA",IND,IND,KIND,Indianapolis International Airport
"South Bend, INDIANA",SBN,SBN,KSBN,South Bend Airport (was South Bend Regional)
"Cedar Rapids, IOWA",CID,CID,KCID,The Eastern Iowa Airport
"Des Moines, IOWA",DSM,DSM,KDSM,Des Moines International Airport
"Dubuque, IOWA",DBQ,DBQ,KDBQ,Dubuque Regional Airport
"Fort Dodge, IOWA",FOD,FOD,KFOD,Fort Dodge Regional Airport
"Mason City, IOWA",MCW,MCW,KMCW,Mason City Municipal Airport
"Sioux City, IOWA",SUX,SUX,KSUX,Sioux Gateway Airport (Col. Bud Day Field)
"Waterloo, IOWA",ALO,ALO,KALO,Waterloo Regional Airport
"Garden City, KANSAS",GCK,GCK,KGCK,Garden City Regional Airport
"Topeka, KANSAS",FOE,FOE,KFOE,Forbes Field (airport)
"Manhattan, KANSAS",MHK,MHK,KMHK,Manhattan Regional Airport
"Wichita, KANSAS",ICT,ICT,KICT,Wichita Mid-Continent Airport
"Covington, KENTUCKY",CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport
"Lexington, KENTUCKY",LEX,LEX,KLEX,Blue Grass Airport
"Louisville, KENTUCKY",SDF,SDF,KSDF,Louisville International Airport (Standiford Field)
"Owensboro, KENTUCKY",OWB,OWB,KOWB,Owensboro-Daviess County Regional Airport
"Paducah, KENTUCKY",PAH,PAH,KPAH,Barkley Regional Airport
"Alexandria, LOUISIANA",AEX,AEX,KAEX,Alexandria International Airport
"Baton Rouge, LOUISIANA",BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field)
"Lafayette, LOUISIANA",LFT,LFT,KLFT,Lafayette Regional Airport
"Lake Charles, LOUISIANA",LCH,LCH,KLCH,Lake Charles Regional Airport
"Monroe, LOUISIANA",MLU,MLU,KMLU,Monroe Regional Airport
"New Orleans, LOUISIANA",MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport
"Shreveport, LOUISIANA",SHV,SHV,KSHV,Shreveport Regional Airport
"Bangor, MAINE",BGR,BGR,KBGR,Bangor International Airport
"Bar Harbor, MAINE",BHB,BHB,KBHB,Hancock County-Bar Harbor Airport
"Portland, MAINE",PWM,PWM,KPWM,Portland International Jetport
"Presque Isle, MAINE",PQI,PQI,KPQI,Northern Maine Regional Airport at Presque Isle
"Rockland, MAINE",RKD,RKD,KRKD,Knox County Regional Airport
"Baltimore / Glen Burnie, MARYLAND",BWI,BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport
"Salisbury, MARYLAND",SBY,SBY,KSBY,Salisbury-Ocean City Wicomico Regional Airport
"Hagerstown, MARYLAND",HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field)
"Boston, MASSACHUSETTS",BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport
"Hyannis, MASSACHUSETTS",HYA,HYA,KHYA,Barnstable Municipal Airport (Boardman/Polando Field)
"Nantucket, MASSACHUSETTS",ACK,ACK,KACK,Nantucket Memorial Airport
"New Bedford, MASSACHUSETTS",EWB,EWB,KEWB,New Bedford Regional Airport
"Provincetown, MASSACHUSETTS",PVC,PVC,KPVC,Provincetown Municipal Airport
"Vineyard Haven, MASSACHUSETTS",MVY,MVY,KMVY,Martha's Vineyard Airport
"Worcester, MASSACHUSETTS",ORH,ORH,KORH,Worcester Regional Airport
"Charlevoix, MICHIGAN",CVX,,KCVX,Charlevoix Municipal Airport
"Detroit / Romulus, MICHIGAN",DTW,DTW,KDTW,Detroit Metropolitan Wayne County Airport
"Flint, MICHIGAN",FNT,FNT,KFNT,Bishop International Airport
"Grand Rapids, MICHIGAN",GRR,GRR,KGRR,Gerald R. Ford International Airport
"Hancock / Calumet, MICHIGAN",CMX,CMX,KCMX,Houghton County Memorial Airport
"Kalamazoo / Battle Creek, MICHIGAN",AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport
"Lansing, MICHIGAN",LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City)
"Marquette / Gwinn, MICHIGAN",SAW,MQT,KSAW,Sawyer International Airport
"Muskegon, MICHIGAN",MKG,MKG,KMKG,Muskegon County Airport
"Pellston, MICHIGAN",PLN,PLN,KPLN,Pellston Regional Airport of Emmet County
"Detroit/Pontiac, MICHIGAN",[1],PTK,KPTK,Oakland County International Airport
"Saginaw, MICHIGAN",MBS,MBS,KMBS,MBS International Airport
"Sault Ste. Marie, MICHIGAN",CIU,CIU,KCIU,Chippewa County International Airport
"Traverse City, MICHIGAN",TVC,TVC,KTVC,Cherry Capital Airport
"Bemidji, MINNESOTA",BJI,BJI,KBJI,Bemidji Regional Airport
"Brainerd, MINNESOTA",BRD,BRD,KBRD,Brainerd Lakes Regional Airport
"Duluth, MINNESOTA",DLH,DLH,KDLH,Duluth International Airport
"Hibbing, MINNESOTA",HIB,HIB,KHIB,Range Regional Airport (was Chisholm-Hibbing Airport)
"International Falls, MINNESOTA",INL,INL,KINL,Falls International Airport
"Minneapolis, MINNESOTA",MSP,MSP,KMSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field)
"Rochester, MINNESOTA",RST,RST,KRST,Rochester International Airport
"St. Cloud, MINNESOTA",STC,STC,KSTC,St. Cloud Regional Airport (scheduled passenger service resumed Dec. 2012)
"Columbus / West Point / Starkville, MISSISSIPPI",GTR,GTR,KGTR,Golden Triangle Regional Airport
"Gulfport / Biloxi, MISSISSIPPI",GPT,GPT,KGPT,Gulfport-Biloxi International Airport
"Hattiesburg / Laurel, MISSISSIPPI",PIB,PIB,KPIB,Hattiesburg-Laurel Regional Airport
"Jackson, MISSISSIPPI",JAN,JAN,KJAN,Jackson-Evers International Airport
"Meridian, MISSISSIPPI",MEI,MEI,KMEI,Meridian Regional Airport (Key Field)
"Tupelo, MISSISSIPPI",TUP,TUP,KTUP,Tupelo Regional Airport (C.D. Lemons Field)
"Branson, MISSOURI",BBG,BKG,KBBG,Branson Airport (opened May 2009)
"Columbia, MISSOURI",COU,COU,KCOU,Columbia Regional Airport
"Kansas City, MISSOURI",MCI,MCI,KMCI,Kansas City International Airport
"Springfield, MISSOURI",SGF,SGF,KSGF,Springfield-Branson National Airport
"St. Louis, MISSOURI",STL,STL,KSTL,Lambert-St. Louis International Airport
"Billings, MONTANA",BIL,BIL,KBIL,Billings Logan International Airport
"Bozeman, MONTANA",BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field Airport)
"Butte, MONTANA",BTM,BTM,KBTM,Bert Mooney Airport
"Great Falls, MONTANA",GTF,GTF,KGTF,Great Falls International Airport
"Helena, MONTANA",HLN,HLN,KHLN,Helena Regional Airport
